ModelName,DS-5314
FileVersion,1
Acquisition Time,2016/12/15 15:15:07
Time/div(second),2E-03
Delay(second),+120E-06
Delta(second),2E-06
Acquisition Mode,Normal
Trigger Address,5060
CH1 Display,On
CH2 Display,On
CH3 Display,On
CH4 Display,Off
CH1 Volt/div,10.0E+00
CH2 Volt/div,200E-03
CH3 Volt/div,200E-03
CH4 Volt/div,2.00E+00
CH1 Offset,-36.4E+00
CH2 Offset,48.0E-03
CH3 Offset,0.00E+00
CH4 Offset,-2.36E+00
CH1 Coupling,DC1M
CH2 Coupling,AC1M
CH3 Coupling,AC1M
CH4 Coupling,AC1M
CH1 Bandwidth,20MHz
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,10001
Ch1 V,Ch2 V,Ch3 V,Ch4 V
1.50E-01,3.32E-02,-6.25E-03,
1.50E-01,3.95E-02,-6.25E-03,
1.50E-01,3.32E-02,-6.25E-03,
1.50E-01,3.32E-02,-1.25E-02,
1.50E-01,3.32E-02,-1.25E-02,
4.62E-01,2.70E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,1.45E-02,-6.25E-03,
4.62E-01,2.07E-02,0.00E+00,
1.50E-01,2.07E-02,-6.25E-03,
1.50E-01,2.70E-02,0.00E+00,
4.62E-01,3.32E-02,0.00E+00,
1.50E-01,4.57E-02,6.25E-03,
1.50E-01,4.57E-02,0.00E+00,
1.50E-01,4.57E-02,0.00E+00,
1.50E-01,3.95E-02,0.00E+00,
4.62E-01,4.57E-02,-6.25E-03,
1.50E-01,4.57E-02,-6.25E-03,
1.50E-01,3.32E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,1.45E-02,0.00E+00,
1.50E-01,2.70E-02,0.00E+00,
1.50E-01,2.70E-02,0.00E+00,
1.50E-01,2.07E-02,0.00E+00,
1.50E-01,2.70E-02,0.00E+00,
1.50E-01,3.32E-02,-6.25E-03,
1.50E-01,3.32E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,2.70E-02,-2.50E-02,
1.50E-01,2.70E-02,-1.87E-02,
4.62E-01,2.70E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
4.62E-01,2.07E-02,-6.25E-03,
1.50E-01,1.45E-02,0.00E+00,
1.50E-01,2.70E-02,-6.25E-03,
1.50E-01,2.07E-02,0.00E+00,
1.50E-01,1.45E-02,-6.25E-03,
1.50E-01,2.07E-02,-6.25E-03,
1.50E-01,2.70E-02,-6.25E-03,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,3.32E-02,-1.87E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,2.70E-02,-1.87E-02,
4.62E-01,2.07E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,2.00E-03,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,3.32E-02,-1.87E-02,
1.50E-01,3.32E-02,-1.87E-02,
1.50E-01,2.70E-02,-3.12E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,2.07E-02,-3.12E-02,
1.50E-01,2.07E-02,-3.12E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,2.00E-03,-3.12E-02,
1.50E-01,2.00E-03,-3.12E-02,
1.50E-01,2.00E-03,-2.50E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,2.07E-02,-3.12E-02,
1.50E-01,1.45E-02,-3.75E-02,
1.50E-01,1.45E-02,-3.75E-02,
1.50E-01,8.25E-03,-3.75E-02,
1.50E-01,1.45E-02,-3.75E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,2.00E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,2.00E-03,-2.50E-02,
1.50E-01,2.00E-03,-3.12E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,2.07E-02,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,8.25E-03,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
4.62E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-1.25E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
4.62E-01,2.07E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,2.00E-03,-3.12E-02,
1.50E-01,8.25E-03,-3.75E-02,
1.50E-01,2.00E-03,-3.12E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,2.00E-03,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
4.62E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,2.00E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,2.70E-02,-3.12E-02,
1.50E-01,2.07E-02,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,2.00E-03,-3.12E-02,
1.50E-01,2.00E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,2.07E-02,-3.75E-02,
1.50E-01,2.07E-02,-3.75E-02,
1.50E-01,1.45E-02,-3.75E-02,
1.50E-01,2.07E-02,-3.75E-02,
1.50E-01,8.25E-03,-5.00E-02,
1.50E-01,2.00E-03,-4.37E-02,
1.50E-01,-4.25E-03,-3.75E-02,
1.50E-01,2.00E-03,-4.37E-02,
1.50E-01,8.25E-03,-4.37E-02,
1.50E-01,2.00E-03,-3.75E-02,
1.50E-01,-4.25E-03,-2.50E-02,
4.62E-01,2.00E-03,-2.50E-02,
4.62E-01,2.00E-03,-1.87E-02,
4.62E-01,2.00E-03,-1.25E-02,
1.50E-01,-4.25E-03,-1.25E-02,
1.50E-01,2.00E-03,-1.25E-02,
4.62E-01,8.25E-03,-1.87E-02,
1.50E-01,2.00E-03,-3.12E-02,
1.50E-01,2.00E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,8.25E-03,-3.12E-02,
4.62E-01,8.25E-03,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,2.07E-02,-3.75E-02,
1.50E-01,2.07E-02,-3.75E-02,
1.50E-01,1.45E-02,-4.37E-02,
1.50E-01,1.45E-02,-3.75E-02,
1.50E-01,1.45E-02,-3.75E-02,
1.50E-01,1.45E-02,-4.37E-02,
1.50E-01,8.25E-03,-3.75E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,2.00E-03,-2.50E-02,
1.50E-01,2.00E-03,-1.87E-02,
1.50E-01,2.00E-03,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,1.45E-02,-3.75E-02,
1.50E-01,2.07E-02,-4.37E-02,
1.50E-01,1.45E-02,-4.37E-02,
1.50E-01,1.45E-02,-3.75E-02,
1.50E-01,2.70E-02,-3.12E-02,
1.50E-01,2.07E-02,-3.12E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,1.45E-02,-3.12E-02,
1.50E-01,2.07E-02,-3.12E-02,
1.50E-01,2.07E-02,-3.75E-02,
1.50E-01,2.07E-02,-3.75E-02,
1.50E-01,2.70E-02,-3.75E-02,
1.50E-01,3.32E-02,-3.75E-02,
1.50E-01,2.70E-02,-3.75E-02,
1.50E-01,2.07E-02,-3.75E-02,
1.50E-01,2.07E-02,-2.50E-02,
4.62E-01,2.07E-02,-2.50E-02,
1.50E-01,2.07E-02,-2.50E-02,
4.62E-01,1.45E-02,-2.50E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,8.25E-03,-3.12E-02,
1.50E-01,8.25E-03,-3.12E-02,
4.62E-01,8.25E-03,-3.12E-02,
1.50E-01,1.45E-02,-2.50E-02,
1.50E-01,8.25E-03,-2.50E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,2.70E-02,-1.87E-02,
4.62E-01,2.70E-02,-2.50E-02,
1.50E-01,2.70E-02,-2.50E-02,
1.50E-01,2.70E-02,-1.87E-02,
4.62E-01,3.32E-02,-1.87E-02,
1.50E-01,3.32E-02,-1.87E-02,
1.50E-01,2.70E-02,-2.50E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,3.32E-02,-1.87E-02,
4.62E-01,2.07E-02,-1.87E-02,
1.50E-01,2.07E-02,-2.50E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,3.32E-02,-1.87E-02,
1.50E-01,3.32E-02,-2.50E-02,
4.62E-01,3.95E-02,-2.50E-02,
1.50E-01,3.32E-02,-1.87E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,3.32E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,8.25E-03,-6.25E-03,
1.50E-01,1.45E-02,-6.25E-03,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-6.25E-03,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,2.70E-02,-1.25E-02,
4.62E-01,3.32E-02,-1.25E-02,
1.50E-01,3.32E-02,-1.87E-02,
1.50E-01,2.70E-02,-1.87E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.70E-02,-6.25E-03,
1.50E-01,2.07E-02,-6.25E-03,
1.50E-01,1.45E-02,0.00E+00,
1.50E-01,2.07E-02,-6.25E-03,
4.62E-01,1.45E-02,-6.25E-03,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
4.62E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
4.62E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-6.25E-03,
4.62E-01,2.70E-02,-6.25E-03,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,2.70E-02,-1.25E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,2.07E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-6.25E-03,
1.50E-01,2.07E-02,-6.25E-03,
4.62E-01,1.45E-02,-6.25E-03,
1.50E-01,8.25E-03,0.00E+00,
1.50E-01,8.25E-03,6.25E-03,
1.50E-01,1.45E-02,0.00E+00,
1.50E-01,1.45E-02,0.00E+00,
1.50E-01,8.25E-03,-6.25E-03,
1.50E-01,2.00E-03,-6.25E-03,
1.50E-01,1.45E-02,-1.25E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,8.25E-03,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,1.45E-02,-1.87E-02,
1.50E-01,8.25E-03,-1.25E-02,
1.50E-01,2.00E-03,-6.25E-03,
4.62E-01,2.00E-03,-6.25E-03,
1.50E-01,-4.25E-03,-6.25E-03,
1.50E-01,-1.05E-02,0.00E+00,
1.50E-01,2.00E-03,0.00E+00,
1.50E-01,2.00E-03,0.00E+00,
1.50E-01,8.25E-03,0.00E+00,
1.50E-01,8.25E-03,0.00E+00,
1.50E-01,2.07E-02,-6.25E-03,
1.50E-01,1.45E-02,-6.25E-03,
1.50E-01,1.45E-02,-6.25E-03,
1.50E-01,2.07E-02,-6.25E-03,
1.50E-01,2.07E-02,-6.25E-03,
1.50E-01,1.45E-02,0.00E+00,
1.50E-01,1.45E-02,0.00E+00,
1.50E-01,2.00E-03,0.00E+00,
1.50E-01,-4.25E-03,6.25E-03,
1.50E-01,-4.25E-03,0.00E+00,
1.50E-01,-1.67E-02,6.25E-03,
1.50E-01,-1.67E-02,0.00E+00,
1.50E-01,-1.67E-02,0.00E+00,
1.50E-01,-1.05E-02,0.00E+00,
1.50E-01,-1.05E-02,0.00E+00,
1.50E-01,-4.25E-03,-6.25E-03,
1.50E-01,8.25E-03,0.00E+00,
1.50E-01,8.25E-03,-6.25E-03,
1.50E-01,8.25E-03,-6.25E-03,
1.50E-01,8.25E-03,0.00E+00,
1.50E-01,8.25E-03,6.25E-03,
1.50E-01,8.25E-03,6.25E-03,
1.50E-01,2.00E-03,6.25E-03,
1.50E-01,-4.25E-03,6.25E-03,
1.50E-01,2.00E-03,6.25E-03,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,-1.67E-02,1.25E-02,
1.50E-01,-1.67E-02,1.25E-02,
1.50E-01,-1.05E-02,6.25E-03,
1.50E-01,-1.05E-02,6.25E-03,
1.50E-01,-1.05E-02,0.00E+00,
1.50E-01,-1.05E-02,0.00E+00,
1.50E-01,-4.25E-03,0.00E+00,
1.50E-01,-4.25E-03,0.00E+00,
1.50E-01,-4.25E-03,6.25E-03,
1.50E-01,-1.05E-02,0.00E+00,
1.50E-01,-4.25E-03,6.25E-03,
1.50E-01,2.00E-03,6.25E-03,
1.50E-01,2.00E-03,0.00E+00,
1.50E-01,-4.25E-03,6.25E-03,
1.50E-01,-4.25E-03,6.25E-03,
1.50E-01,2.00E-03,1.25E-02,
1.50E-01,-4.25E-03,6.25E-03,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,-4.25E-03,1.87E-02,
4.62E-01,-4.25E-03,1.87E-02,
4.62E-01,-1.05E-02,1.87E-02,
1.50E-01,-1.67E-02,1.25E-02,
1.50E-01,-1.67E-02,1.25E-02,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,-1.05E-02,6.25E-03,
1.50E-01,-4.25E-03,6.25E-03,
1.50E-01,2.00E-03,6.25E-03,
4.62E-01,8.25E-03,6.25E-03,
1.50E-01,2.00E-03,6.25E-03,
1.50E-01,2.00E-03,1.25E-02,
1.50E-01,2.00E-03,1.25E-02,
1.50E-01,2.00E-03,1.25E-02,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,-1.67E-02,1.87E-02,
1.50E-01,-1.05E-02,1.87E-02,
1.50E-01,-1.05E-02,1.25E-02,
1.50E-01,-1.05E-02,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,8.25E-03,1.87E-02,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,-4.25E-03,1.25E-02,
4.62E-01,-4.25E-03,1.87E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,-1.05E-02,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,2.00E-03,2.50E-02,
4.62E-01,2.00E-03,3.12E-02,
1.50E-01,2.00E-03,3.12E-02,
1.50E-01,2.00E-03,2.50E-02,
1.50E-01,2.00E-03,3.12E-02,
1.50E-01,1.45E-02,3.12E-02,
1.50E-01,8.25E-03,2.50E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,8.25E-03,1.87E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,-4.25E-03,3.12E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,2.00E-03,2.50E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,2.00E-03,2.50E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,2.00E-03,2.50E-02,
1.50E-01,8.25E-03,2.50E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,-4.25E-03,3.12E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,-1.05E-02,2.50E-02,
1.50E-01,-1.05E-02,2.50E-02,
1.50E-01,-1.05E-02,3.12E-02,
1.50E-01,-4.25E-03,2.50E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-4.25E-03,1.25E-02,
4.62E-01,2.00E-03,1.25E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-1.05E-02,1.87E-02,
4.62E-01,2.00E-03,2.50E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,8.25E-03,1.87E-02,
1.50E-01,8.25E-03,1.25E-02,
1.50E-01,2.00E-03,1.25E-02,
1.50E-01,-4.25E-03,1.25E-02,
1.50E-01,2.00E-03,1.25E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-1.05E-02,1.87E-02,
1.50E-01,-1.67E-02,1.87E-02,
1.50E-01,-1.05E-02,1.87E-02,
1.50E-01,-1.05E-02,1.87E-02,
1.50E-01,-1.05E-02,1.25E-02,
4.62E-01,-1.05E-02,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,2.00E-03,1.87E-02,
1.50E-01,2.00E-03,1.25E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-4.25E-03,1.87E-02,
1.50E-01,-1.05E-02,1.87E-02,
1.50E-01,-1.67E-02,1.87E-02,
4.62E-01,-2.30E-02,1.87E-02,
1.50E-01,-2.30E-02,1.87E-02,
1.50E-01,-2.30E-02,1.87E-02,
1.50E-01,-2.30E-02,1.87E-02,
1.50E-01,-2.92E-02,1.87E-02,
1.50E-01,-1.67E-02,2.50E-02,
1.50E-01,-1.67E-02,1.87E-02,
1.50E-01,-1.05E-02,1.25E-02,
1.50E-01,-1.05E-02,1.25E-02,
1.50E-01,-1.05E-02,1.25E-02,
1.50E-01,-1.05E-02,1.25E-02,
1.50E-01,-2.30E-02,1.87E-02,
1.50E-01,-2.30E-02,1.25E-02,
4.62E-01,-1.67E-02,1.25E-02,
1.50E-01,-2.30E-02,1.25E-02,
1.50E-01,-2.30E-02,6.25E-03,
1.50E-01,-2.92E-02,1.25E-02,
1.50E-01,-1.67E-02,1.25E-02,
1.50E-01,-1.67E-02,6.25E-03,
1.50E-01,-2.30E-02,6.25E-03,
1.50E-01,-2.30E-02,6.25E-03,
1.50E-01,-1.67E-02,6.25E-03,
1.50E-01,-1.67E-02,6.25E-03,
4.62E-01,-2.30E-02,0.00E+00,
1.50E-01,-2.30E-02,0.00E+00,
1.50E-01,-1.67E-02,6.25E-03,
1.50E-01,-1.67E-02,1.25E-02,
4.62E-01,-1.67E-02,6.25E-03,
1.50E-01,-2.30E-02,6.25E-03,
4.62E-01,-1.67E-02,6.25E-03,
1.50E-01,-1.67E-02,6.25E-03,
1.50E-01,-1.67E-02,6.25E-03,
1.50E-01,-2.30E-02,6.25E-03,
1.50E-01,-1.67E-02,1.25E-02,
4.62E-01,-2.30E-02,1.87E-02,
1.50E-01,-2.30E-02,1.87E-02,
1.50E-01,-2.30E-02,1.25E-02,
1.50E-01,-1.67E-02,1.25E-02,
1.50E-01,-1.67E-02,1.25E-02,
4.62E-01,-2.30E-02,6.25E-03,
1.50E-01,-2.92E-02,6.25E-03,
1.50E-01,-2.30E-02,1.25E-02,
1.50E-01,-2.30E-02,1.25E-02,
